qid,type,rr
QE:DOID:1509:0,QE,0.0
QE:DOID:1509:1,QE,0.0
QE:DOID:0080114:0,QE,0.0
QE:DOID:653:0,QE,0.0
QE:DOID:653:1,QE,0.0
QE:DOID:3525:0,QE,0.0
QE:DOID:7302:0,QE,0.0
QE:DOID:0050328:0,QE,0.0
QE:DOID:0110990:0,QE,0.0
QE:DOID:0110990:1,QE,0.0
QE:DOID:12958:0,QE,0.0
QE:DOID:14512:0,QE,0.0
QE:DOID:14512:1,QE,0.0
QE:DOID:0111837:0,QE,0.0
QE:DOID:0111837:1,QE,0.0
QE:DOID:4768:0,QE,0.0
QE:DOID:2660:0,QE,0.0
QE:DOID:0050683:0,QE,0.0
QE:DOID:0050683:1,QE,0.0
QE:DOID:5343:0,QE,0.0
QE:DOID:5343:1,QE,0.0
QE:DOID:0061073:0,QE,0.0
QE:DOID:0061073:1,QE,0.0
QE:DOID:8601:0,QE,0.0
QE:DOID:8601:1,QE,0.0
QE:DOID:5680:0,QE,0.0
QE:DOID:5680:1,QE,0.0
QE:DOID:0070265:0,QE,0.0
QE:DOID:0070265:1,QE,0.0
QE:DOID:7549:0,QE,0.0
QE:DOID:7549:1,QE,0.0
QE:DOID:5138:0,QE,0.0
QE:DOID:0111751:0,QE,0.0
QE:DOID:0112263:0,QE,0.0
QE:DOID:0112263:1,QE,0.0
QE:DOID:0081328:0,QE,0.0
QE:DOID:0070258:0,QE,0.0
QE:DOID:0070258:1,QE,0.0
QE:DOID:0081355:0,QE,0.125
QE:DOID:7089:0,QE,0.0
QE:DOID:7089:1,QE,0.0
QE:DOID:3981:0,QE,0.0
QE:DOID:3981:1,QE,0.0
QE:DOID:1575:0,QE,0.0
QE:DOID:0080855:0,QE,0.0
QE:DOID:0070316:0,QE,0.0
QE:DOID:0070316:1,QE,0.0
QE:DOID:0060475:0,QE,0.0
QE:DOID:0060475:1,QE,0.0
QE:DOID:2064:0,QE,0.0
QE:DOID:0080351:0,QE,0.0
QE:DOID:0080351:1,QE,0.0
QE:DOID:0070638:0,QE,0.0
QE:DOID:10174:0,QE,0.0
QE:DOID:10174:1,QE,0.0
QE:DOID:0070221:0,QE,0.0
QE:DOID:0070221:1,QE,0.0
QE:DOID:0050671:0,QE,0.0
QE:DOID:5826:0,QE,0.0
QE:DOID:5826:1,QE,0.0
QE:DOID:4441:0,QE,0.0
