qid,type,rr
QE:HP:0100938:0,QE,0.0
QE:HP:0100938:1,QE,1.0
QE:HP:0032389:0,QE,1.0
QE:HP:0032341:0,QE,0.5
QE:HP:0032341:1,QE,0.0
QE:HP:0010814:0,QE,1.0
QE:HP:0010814:1,QE,1.0
QE:HP:0012795:0,QE,1.0
QE:HP:0034490:0,QE,1.0
QE:HP:0034490:1,QE,1.0
QE:HP:0005338:0,QE,1.0
QE:HP:0005338:1,QE,0.5
QE:HP:0012124:0,QE,1.0
QE:HP:0040093:0,QE,0.1111111111111111
QE:HP:0040093:1,QE,1.0
QE:HP:0007985:0,QE,1.0
QE:HP:0007985:1,QE,0.5
QE:HP:5000048:0,QE,1.0
QE:HP:0410134:0,QE,1.0
QE:HP:0001187:0,QE,0.0
QE:HP:0001187:1,QE,1.0
QE:HP:0011483:0,QE,0.0
QE:HP:0011483:1,QE,0.0
QE:HP:0000977:0,QE,1.0
QE:HP:0000977:1,QE,0.2
QE:HP:0003897:0,QE,0.125
QE:HP:0003897:1,QE,1.0
QE:HP:0025721:0,QE,0.5
QE:HP:0031550:0,QE,1.0
QE:HP:0033568:0,QE,1.0
QE:HP:0033568:1,QE,1.0
QE:HP:0010270:0,QE,1.0
QE:HP:0010270:1,QE,0.0
QE:HP:0000646:0,QE,0.0
QE:HP:0000646:1,QE,0.0
QE:HP:0100438:0,QE,1.0
QE:HP:0100438:1,QE,0.3333333333333333
QE:HP:0003609:0,QE,1.0
QE:HP:0003013:0,QE,1.0
QE:HP:0003013:1,QE,0.0
QE:HP:0032252:0,QE,0.5
QE:HP:0025598:0,QE,0.25
QE:HP:0025598:1,QE,1.0
QE:HP:0100336:0,QE,1.0
QE:HP:0100336:1,QE,1.0
QE:HP:0500254:0,QE,1.0
QE:HP:0500254:1,QE,1.0
QE:HP:0006927:0,QE,0.5
QE:HP:0000155:0,QE,0.25
QE:HP:0000155:1,QE,1.0
QE:HP:0010491:0,QE,0.25
QE:HP:0010491:1,QE,1.0
QE:HP:0033303:0,QE,1.0
QE:HP:0033335:0,QE,1.0
QE:HP:4000088:0,QE,1.0
QE:HP:0010383:0,QE,0.0
QE:HP:0010383:1,QE,0.0
QE:HP:0033130:0,QE,1.0
QE:HP:0000894:0,QE,0.5
QE:HP:0000894:1,QE,0.0
QE:HP:0002086:0,QE,0.3333333333333333
QE:HP:0002086:1,QE,0.5
QE:HP:0031818:0,QE,1.0
QE:HP:0010476:0,QE,0.0
QE:HP:0010476:1,QE,1.0
QE:HP:0040013:0,QE,1.0
QE:HP:0032729:0,QE,0.5
QE:HP:0008113:0,QE,1.0
QE:HP:0005525:0,QE,1.0
QE:HP:0010822:0,QE,1.0
QE:HP:0007546:0,QE,1.0
QE:HP:0003080:0,QE,1.0
QE:HP:0003080:1,QE,1.0
QE:HP:0040200:0,QE,0.0
QE:HP:0040200:1,QE,1.0
QE:HP:0030053:0,QE,1.0
QE:HP:0030053:1,QE,1.0
QE:HP:0034216:0,QE,1.0
QE:HP:0032619:0,QE,1.0
QE:HP:0034192:0,QE,1.0
QE:HP:0031427:0,QE,1.0
QE:HP:0031991:0,QE,1.0
QE:HP:0008523:0,QE,0.0
QE:HP:0008523:1,QE,1.0
QE:HP:0009852:0,QE,0.0
QE:HP:0009852:1,QE,0.5
