qid,type,rr
QE:HP:0004328:0,QE,1.0
QE:HP:0004328:1,QE,1.0
QE:HP:0410341:0,QE,1.0
QE:HP:0410341:1,QE,1.0
QE:HP:0033477:0,QE,1.0
QE:HP:0011514:0,QE,1.0
QE:HP:0032181:0,QE,1.0
QE:HP:6000356:0,QE,1.0
QE:HP:6000356:1,QE,0.1
QE:HP:0003846:0,QE,0.5
QE:HP:0003846:1,QE,0.5
QE:HP:0031416:0,QE,1.0
QE:HP:0005982:0,QE,1.0
QE:HP:0005982:1,QE,1.0
QE:HP:0001250:0,QE,0.5
QE:HP:0001250:1,QE,0.5
QE:HP:0000769:0,QE,1.0
QE:HP:0000769:1,QE,1.0
QE:HP:6000400:0,QE,1.0
QE:HP:0100719:0,QE,1.0
QE:HP:6001048:0,QE,1.0
QE:HP:0001824:0,QE,1.0
QE:HP:0001824:1,QE,1.0
QE:HP:0100272:0,QE,1.0
QE:HP:0100272:1,QE,0.0
QE:HP:0033648:0,QE,1.0
QE:HP:0100604:0,QE,1.0
QE:HP:0100604:1,QE,1.0
QE:HP:0001421:0,QE,1.0
QE:HP:0001421:1,QE,1.0
QE:HP:0034537:0,QE,1.0
QE:HP:0034537:1,QE,1.0
QE:HP:0032329:0,QE,1.0
QE:HP:0008186:0,QE,0.5
QE:HP:0003019:0,QE,1.0
QE:HP:0003019:1,QE,1.0
QE:HP:0430014:0,QE,1.0
QE:HP:0430014:1,QE,1.0
QE:HP:0006782:0,QE,1.0
QE:HP:0034634:0,QE,1.0
QE:HP:0034634:1,QE,1.0
QE:HP:0410023:0,QE,1.0
QE:HP:0001436:0,QE,0.5
QE:HP:0001436:1,QE,0.5
QE:HP:0002012:0,QE,1.0
QE:HP:0002012:1,QE,0.0
QE:HP:0031821:0,QE,0.0
QE:HP:0031821:1,QE,1.0
QE:HP:0030061:0,QE,0.3333333333333333
QE:HP:0012838:0,QE,1.0
QE:HP:0012838:1,QE,0.5
QE:HP:0005523:0,QE,1.0
QE:HP:0005523:1,QE,1.0
QE:HP:0009763:0,QE,0.1
QE:HP:0009763:1,QE,1.0
QE:HP:6001335:0,QE,1.0
QE:HP:0033503:0,QE,1.0
QE:HP:0033541:0,QE,0.5
QE:HP:0033541:1,QE,0.25
QE:HP:0034470:0,QE,1.0
QE:HP:0034470:1,QE,1.0
QE:HP:0030829:0,QE,1.0
QE:HP:0030829:1,QE,1.0
QE:HP:0025207:0,QE,1.0
QE:HP:0025207:1,QE,0.5
QE:HP:0430061:0,QE,1.0
QE:HP:0002511:0,QE,1.0
QE:HP:0002511:1,QE,1.0
QE:HP:6001248:0,QE,1.0
QE:HP:6001248:1,QE,0.5
QE:HP:0020276:0,QE,0.5
QE:HP:0500252:0,QE,1.0
QE:HP:0500252:1,QE,0.25
QE:HP:6000822:0,QE,1.0
QE:HP:0010995:0,QE,1.0
QE:HP:0000002:0,QE,1.0
QE:HP:0000002:1,QE,1.0
QE:HP:0000775:0,QE,1.0
QE:HP:0000775:1,QE,1.0
